Test case #           1:    data_in = 0x1851,    crc_out = 0x10a, golden_crc_out = 0x10a, TEST MATCH!
Test case #           2:    data_in = 0x5677,    crc_out = 0x19b, golden_crc_out = 0x19b, TEST MATCH!
Test case #           3:    data_in = 0x1717,    crc_out = 0x02e, golden_crc_out = 0x02e, TEST MATCH!
Test case #           4:    data_in = 0xe51e,    crc_out = 0x0a2, golden_crc_out = 0x0a2, TEST MATCH!
Test case #           5:    data_in = 0x0ebd,    crc_out = 0x17d, golden_crc_out = 0x17d, TEST MATCH!
Test case #           7:    data_in = 0x477e,    crc_out = 0x1ba, golden_crc_out = 0x1ba, TEST MATCH!
Test case #           8:    data_in = 0x695a,    crc_out = 0x0b2, golden_crc_out = 0x0b2, TEST MATCH!
Test case #           9:    data_in = 0xf458,    crc_out = 0x175, golden_crc_out = 0x175, TEST MATCH!
Test case #          10:    data_in = 0xbd64,    crc_out = 0x052, golden_crc_out = 0x052, TEST MATCH!
Test case #          11:    data_in = 0xace4,    crc_out = 0x151, golden_crc_out = 0x151, TEST MATCH!
Test case #          12:    data_in = 0xdcc3,    crc_out = 0x155, golden_crc_out = 0x155, TEST MATCH!
Test case #          13:    data_in = 0x54fa,    crc_out = 0x160, golden_crc_out = 0x160, TEST MATCH!
Test case #          14:    data_in = 0xc3f2,    crc_out = 0x0b3, golden_crc_out = 0x0b3, TEST MATCH!
Test case #          15:    data_in = 0x5719,    crc_out = 0x17a, golden_crc_out = 0x17a, TEST MATCH!
Test case #          16:    data_in = 0xffff,    crc_out = 0x1fe, golden_crc_out = 0x1fe, TEST MATCH!
Test case #          17:    data_in = 0xf7d1,    crc_out = 0x037, golden_crc_out = 0x037, TEST MATCH!
Test case #          18:    data_in = 0x14ac,    crc_out = 0x03f, golden_crc_out = 0x03f, TEST MATCH!
Test case #          19:    data_in = 0x76be,    crc_out = 0x1e4, golden_crc_out = 0x1e4, TEST MATCH!
Test case #          20:    data_in = 0x0203,    crc_out = 0x026, golden_crc_out = 0x026, TEST MATCH!
Test case #          21:    data_in = 0x9ee8,    crc_out = 0x0ef, golden_crc_out = 0x0ef, TEST MATCH!
Test case #          22:    data_in = 0xd2ee,    crc_out = 0x03a, golden_crc_out = 0x03a, TEST MATCH!
Test case #          23:    data_in = 0x3b62,    crc_out = 0x05f, golden_crc_out = 0x05f, TEST MATCH!
Test case #          24:    data_in = 0xc497,    crc_out = 0x0f5, golden_crc_out = 0x0f5, TEST MATCH!
Test case #          25:    data_in = 0x8237,    crc_out = 0x1b8, golden_crc_out = 0x1b8, TEST MATCH!
Test case #          26:    data_in = 0x6ca0,    crc_out = 0x158, golden_crc_out = 0x158, TEST MATCH!
Test case #          27:    data_in = 0x2089,    crc_out = 0x077, golden_crc_out = 0x077, TEST MATCH!
Test case #          28:    data_in = 0x9b69,    crc_out = 0x16c, golden_crc_out = 0x16c, TEST MATCH!
Test case #          29:    data_in = 0x6c8f,    crc_out = 0x0a2, golden_crc_out = 0x0a2, TEST MATCH!
Test case #          30:    data_in = 0x5d50,    crc_out = 0x100, golden_crc_out = 0x100, TEST MATCH!
Test case #          31:    data_in = 0x9ad0,    crc_out = 0x068, golden_crc_out = 0x068, TEST MATCH!
Test case #          32:    data_in = 0xf378,    crc_out = 0x191, golden_crc_out = 0x191, TEST MATCH!
Test case #          33:    data_in = 0xd3b4,    crc_out = 0x144, golden_crc_out = 0x144, TEST MATCH!
Test case #          34:    data_in = 0x6e18,    crc_out = 0x10f, golden_crc_out = 0x10f, TEST MATCH!
Test case #          35:    data_in = 0xf755,    crc_out = 0x1be, golden_crc_out = 0x1be, TEST MATCH!
Test case #          36:    data_in = 0x5c82,    crc_out = 0x06f, golden_crc_out = 0x06f, TEST MATCH!
Test case #          37:    data_in = 0x88c3,    crc_out = 0x17f, golden_crc_out = 0x17f, TEST MATCH!
Test case #          38:    data_in = 0x3a98,    crc_out = 0x135, golden_crc_out = 0x135, TEST MATCH!
Test case #          39:    data_in = 0x15c9,    crc_out = 0x0b9, golden_crc_out = 0x0b9, TEST MATCH!
Test case #          40:    data_in = 0xa9ab,    crc_out = 0x007, golden_crc_out = 0x007, TEST MATCH!
Test case #          41:    data_in = 0x0000,    crc_out = 0x000, golden_crc_out = 0x000, TEST MATCH!
Test case #          42:    data_in = 0x1f34,    crc_out = 0x14c, golden_crc_out = 0x14c, TEST MATCH!
Test case #          43:    data_in = 0x3ff4,    crc_out = 0x001, golden_crc_out = 0x001, TEST MATCH!
Test case #          44:    data_in = 0x3591,    crc_out = 0x1e7, golden_crc_out = 0x1e7, TEST MATCH!
Test case #          45:    data_in = 0xce05,    crc_out = 0x0f2, golden_crc_out = 0x0f2, TEST MATCH!
Test case #          46:    data_in = 0xecf6,    crc_out = 0x19f, golden_crc_out = 0x19f, TEST MATCH!
